房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
4栋32D,88.92,51610.00,69.99,65568.81,4589161.20,在售,住宅
4栋31D,88.92,51650.00,69.99,65619.63,4592718.00,在售,住宅
4栋30D,88.92,51610.00,69.99,65568.81,4589161.20,在售,住宅
4栋29D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋28D,88.92,51530.00,69.99,65467.17,4582047.60,在售,住宅
4栋27D,88.92,51490.00,69.99,65416.35,4578490.80,在售,住宅
4栋26D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋25D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋24D,88.92,51370.00,69.99,65263.90,4567820.40,在售,住宅
4栋23D,88.92,51330.00,69.99,65213.08,4564263.60,在售,住宅
4栋22D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋21D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋20D,88.92,51150.00,69.99,64984.39,4548258.00,在售,住宅
4栋19D,88.92,51090.00,69.99,64908.16,4542922.80,在售,住宅
4栋18D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋17D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋16D,88.92,50910.00,69.99,64679.48,4526917.20,在售,住宅
4栋15D,88.92,50850.00,69.99,64603.25,4521582.00,在售,住宅
4栋14D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋13D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋12D,88.92,50670.00,69.99,64374.57,4505576.40,在售,住宅
4栋11D,88.92,50610.00,69.99,64298.34,4500241.20,在售,住宅
4栋10D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋9D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋8D,88.92,50520.00,69.99,64184.00,4492238.40,在售,住宅
4栋7D,88.92,50490.00,69.99,64145.88,4489570.80,在售,住宅
4栋6D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋5D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋4D,88.92,50050.00,69.99,63586.88,4450446.00,在售,住宅
4栋3D,88.92,52000.00,69.99,66064.29,4623840.00,在售,住宅
4栋2D,88.92,49990.00,69.99,63510.65,4445110.80,在售,住宅
4栋32C,88.93,51575.00,70.01,65512.99,4586564.75,在售,住宅
4栋31C,88.93,51615.00,70.01,65563.80,4590121.95,在售,住宅
4栋30C,88.93,51575.00,70.01,65512.99,4586564.75,在售,住宅
4栋29C,88.93,52000.00,70.01,66052.84,4624360.00,在售,住宅
4栋28C,88.93,51495.00,70.01,65411.37,4579450.35,在售,住宅
4栋27C,88.93,51455.00,70.01,65360.56,4575893.15,在售,住宅
4栋26C,88.93,52000.00,70.01,66052.84,4624360.00,在售,住宅
4栋25C,88.93,52000.00,70.01,66052.84,4624360.00,在售,住宅
4栋24C,88.93,51335.00,70.01,65208.13,4565221.55,在售,住宅
4栋23C,88.93,51295.00,70.01,65157.32,4561664.35,在售,住宅
4栋22C,88.93,52000.00,70.01,66052.84,4624360.00,在售,住宅
