房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋49C,182.32,111755.28,143.58,141908.50,20375223.00,在售,住宅
2栋48C,187.92,114232.84,147.99,145054.64,21466637.00,在售,住宅
2栋47C,187.92,111438.99,147.99,141506.96,20941616.00,在售,住宅
2栋46C,187.92,113916.56,147.99,144653.02,21407201.00,在售,住宅
2栋45C,187.92,110068.42,147.99,139766.59,20684058.00,在售,住宅
2栋44C,187.92,106220.27,147.99,134880.16,19960915.00,在售,住宅
2栋43C,187.92,103426.42,147.99,131332.48,19435894.00,在售,住宅
2栋42C,187.92,104849.71,147.99,133139.79,19703358.00,在售,住宅
2栋41C,187.92,102055.85,147.99,129592.10,19178336.00,在售,住宅
2栋40C,187.92,104533.42,147.99,132738.16,19643921.00,在售,住宅
2栋39C,187.54,100685.28,147.69,127852.37,18882518.00,在售,住宅
2栋38C,187.54,100000.00,147.69,126982.19,18754000.00,在售,住宅
2栋37C,187.54,97206.14,147.69,123434.49,18230040.00,在售,住宅
2栋36C,187.54,98629.42,147.69,125241.81,18496963.00,在售,住宅
2栋35C,187.54,95835.57,147.69,121694.10,17973003.00,在售,住宅
2栋34C,187.54,98313.14,147.69,124840.18,18437647.00,在售,住宅
2栋33C,187.30,94465.00,147.51,119946.41,17693295.00,在售,住宅
2栋32C,187.30,95941.00,147.51,121820.55,17969750.00,在售,住宅
2栋31C,187.30,93199.86,147.51,118340.00,17456334.00,在售,住宅
2栋30C,187.30,94675.86,147.51,120214.14,17732789.00,在售,住宅
2栋29C,187.30,91934.71,147.51,116733.59,17219373.00,在售,住宅
2栋28C,187.30,94465.00,147.51,119946.41,17693295.00,在售,住宅
2栋27C,187.16,90142.43,147.40,114457.65,16871058.00,在售,住宅
2栋26C,187.16,92672.71,147.40,117670.46,17344626.00,在售,住宅
2栋25C,187.16,89931.57,147.40,114189.91,16831594.00,在售,住宅
2栋24C,187.16,91407.57,147.40,116064.05,17107842.00,在售,住宅
2栋23C,187.16,88666.43,147.40,112583.51,16594810.00,在售,住宅
2栋22C,187.16,91196.71,147.40,115796.32,17068378.00,在售,住宅
2栋21C,187.16,87401.29,147.40,110977.10,16358026.00,在售,住宅
2栋20C,187.16,89931.57,147.40,114189.91,16831594.00,在售,住宅
2栋19C,187.16,87190.43,147.40,110709.37,16318562.00,在售,住宅
2栋18C,187.16,88666.43,147.40,112583.51,16594810.00,在售,住宅
2栋17C,187.16,85398.15,147.40,108433.63,15983118.00,在售,住宅
2栋16C,187.16,87928.43,147.40,111646.44,16456686.00,在售,住宅
2栋15C,187.16,84133.00,147.40,106827.23,15746334.00,在售,住宅
2栋14C,187.16,86136.15,147.40,109370.70,16121242.00,在售,住宅
2栋13C,187.16,83395.00,147.40,105890.16,15608210.00,在售,住宅
2栋12C,187.16,84871.00,147.40,107764.30,15884458.00,在售,住宅
2栋11C,187.16,82129.86,147.40,104283.75,15371426.00,在售,住宅
2栋10C,187.16,84660.15,147.40,107496.56,15844994.00,在售,住宅
2栋9C,187.20,80812.00,147.43,102611.46,15128008.00,在售,住宅
2栋8C,186.90,83289.58,147.19,105760.05,15566823.00,在售,住宅
2栋7C,186.90,80495.72,147.19,102212.45,15044651.00,在售,住宅
2栋6C,186.90,81919.01,147.19,104019.72,15310663.00,在售,住宅
2栋5C,186.90,79125.15,147.19,100472.11,14788491.00,在售,住宅
2栋4C,186.90,81602.72,147.19,103618.10,15251549.00,在售,住宅
2栋3C,186.90,77754.58,147.19,98731.78,14532332.00,在售,住宅
2栋2C,186.90,80232.15,147.19,101877.77,14995390.00,在售,住宅
2栋49B,182.64,101845.00,143.83,129326.08,18600971.00,在售,住宅
2栋48B,185.23,99578.28,145.87,126447.42,18444886.00,在售,住宅
2栋47B,185.23,101528.71,145.87,128924.13,18806164.00,在售,住宅
2栋46B,185.23,99261.99,145.87,126045.79,18386300.00,在售,住宅
2栋45B,185.23,100158.14,145.87,127183.74,18552293.00,在售,住宅
2栋44B,185.23,97891.43,145.87,124305.40,18132430.00,在售,住宅
2栋43B,185.23,99841.85,145.87,126782.11,18493707.00,在售,住宅
2栋42B,185.23,96520.86,145.87,122565.01,17878559.00,在售,住宅
2栋41B,185.23,98471.28,145.87,125041.72,18239836.00,在售,住宅
2栋40B,185.23,96204.57,145.87,122163.38,17819973.00,在售,住宅
2栋39B,184.37,97100.71,145.20,123295.17,17902459.00,在售,住宅
2栋38B,184.37,94834.00,145.20,120416.97,17484545.00,在售,住宅
2栋37B,184.37,96784.42,145.20,122893.56,17844145.00,在售,住宅
2栋36B,184.37,93463.43,145.20,118676.67,17231853.00,在售,住宅
2栋35B,184.37,95413.85,145.20,121153.25,17591453.00,在售,住宅
2栋34B,184.37,93147.14,145.20,118275.06,17173539.00,在售,住宅
2栋33B,184.10,94043.28,144.99,119410.78,17313369.00,在售,住宅
2栋32B,184.10,91829.28,144.99,116599.57,16905772.00,在售,住宅
2栋31B,184.10,93832.43,144.99,119143.05,17274551.00,在售,住宅
2栋30B,184.10,90564.14,144.99,114993.17,16672860.00,在售,住宅
2栋29B,184.10,92567.28,144.99,117536.64,17041638.00,在售,住宅
2栋28B,184.10,90353.29,144.99,114725.43,16634041.00,在售,住宅
2栋27B,183.99,90775.00,144.90,115263.58,16701693.00,在售,住宅
2栋26B,183.99,88561.00,144.90,112452.31,16294340.00,在售,住宅
2栋25B,183.99,90564.15,144.90,114995.84,16662898.00,在售,住宅
2栋24B,183.99,87295.86,144.90,110845.86,16061566.00,在售,住宅
2栋23B,183.99,89299.00,144.90,113389.39,16430124.00,在售,住宅
2栋22B,183.99,87085.00,144.90,110578.12,16022770.00,在售,住宅
2栋21B,183.99,88033.86,144.90,111782.96,16197351.00,在售,住宅
2栋20B,183.99,85819.86,144.90,108971.68,15789997.00,在售,住宅
2栋19B,183.99,87823.00,144.90,111515.21,16158555.00,在售,住宅
2栋18B,183.99,84554.72,144.90,107365.23,15557223.00,在售,住宅
2栋17B,183.99,86030.72,144.90,109239.42,15828793.00,在售,住宅
2栋16B,183.99,83816.72,144.90,106428.15,15421439.00,在售,住宅
2栋15B,183.99,84765.57,144.90,107632.98,15596019.00,在售,住宅
2栋14B,183.99,82024.43,144.90,104152.35,15091676.00,在售,住宅
2栋13B,183.99,84027.57,144.90,106695.88,15460234.00,在售,住宅
2栋12B,183.99,80759.29,144.90,102545.91,14858903.00,在售,住宅
2栋11B,183.99,82762.43,144.90,105089.44,15227461.00,在售,住宅
2栋10B,183.99,80548.43,144.90,102278.17,14820107.00,在售,住宅
2栋9B,183.99,81444.58,144.90,103416.07,14984989.00,在售,住宅
2栋8B,184.08,79177.86,144.97,100538.47,14575062.00,在售,住宅
2栋7B,184.08,81128.29,144.97,103015.08,14934097.00,在售,住宅
2栋6B,184.08,77807.29,144.97,98798.14,14322767.00,在售,住宅
2栋5B,184.08,79757.72,144.97,101274.76,14681802.00,在售,住宅
2栋4B,184.08,77491.01,144.97,98396.53,14264546.00,在售,住宅
2栋3B,184.08,78387.15,144.97,99534.43,14429507.00,在售,住宅
2栋2B,184.08,76120.44,144.97,96656.21,14012251.00,在售,住宅
2栋49A,184.08,109752.13,144.97,139361.06,20203173.00,在售,住宅
2栋48A,186.71,110648.27,147.04,140500.13,20659140.00,在售,住宅
2栋47A,186.67,109435.84,147.01,138959.18,20428390.00,在售,住宅
2栋46A,186.71,110331.99,147.04,140098.52,20600087.00,在售,住宅
2栋45A,186.67,108065.28,147.01,137218.86,20172546.00,在售,住宅
2栋44A,186.71,102635.71,147.04,130325.85,19163114.00,在售,住宅
2栋43A,186.67,101423.28,147.01,128785.01,18932685.00,在售,住宅
2栋42A,186.71,101265.14,147.04,128585.52,18907215.00,在售,住宅
2栋41A,186.67,100052.71,147.01,127044.69,18676840.00,在售,住宅
2栋40A,186.71,100948.85,147.04,128183.90,18848161.00,在售,住宅
2栋39A,186.09,98682.14,146.55,125307.13,18363760.00,在售,住宅
2栋38A,186.12,96415.43,146.58,122423.52,17944840.00,在售,住宅
2栋37A,186.09,95203.00,146.55,120889.30,17716327.00,在售,住宅
2栋36A,186.12,95044.85,146.58,120683.23,17689749.00,在售,住宅
2栋35A,186.09,93832.43,146.55,119148.93,17461277.00,在售,住宅
2栋34A,186.12,94728.57,146.58,120281.63,17630882.00,在售,住宅
2栋33A,186.09,92461.86,146.55,117408.58,17206228.00,在售,住宅
2栋32A,186.12,92356.43,146.58,117269.60,17189379.00,在售,住宅
2栋31A,186.09,91196.71,146.55,115802.09,16970797.00,在售,住宅
2栋30A,186.12,91091.29,146.58,115663.19,16953911.00,在售,住宅
2栋29A,186.09,89931.57,146.55,114195.61,16735367.00,在售,住宅
2栋28A,186.12,90880.43,146.58,115395.45,16914666.00,在售,住宅
2栋27A,185.98,88139.29,146.46,111922.34,16392146.00,在售,住宅
2栋26A,186.02,89088.14,146.49,113128.38,16572177.00,在售,住宅
2栋25A,185.98,87928.43,146.46,111654.58,16352930.00,在售,住宅
2栋24A,186.02,87823.00,146.49,111521.85,16336836.00,在售,住宅
2栋23A,185.98,86663.29,146.46,110048.06,16117639.00,在售,住宅
2栋22A,186.02,87612.14,146.49,111254.09,16297612.00,在售,住宅
2栋21A,185.98,85398.15,146.46,108441.54,15882348.00,在售,住宅
2栋20A,186.02,86347.00,146.49,109647.55,16062270.00,在售,住宅
2栋19A,185.98,85187.29,146.46,108173.78,15843133.00,在售,住宅
2栋18A,186.02,85081.86,146.49,108041.01,15826929.00,在售,住宅
2栋17A,185.98,83395.01,146.46,105897.88,15509804.00,在售,住宅
2栋16A,186.02,84343.86,146.49,107103.87,15689646.00,在售,住宅
2栋15A,185.98,82129.86,146.46,104291.36,15274513.00,在售,住宅
2栋14A,186.02,82551.58,146.49,104827.94,15356245.00,在售,住宅
2栋13A,185.98,81391.86,146.46,103354.21,15137259.00,在售,住宅
2栋12A,186.02,81286.43,146.49,103221.40,15120903.00,在售,住宅
2栋11A,185.98,80126.72,146.46,101747.69,14901968.00,在售,住宅
2栋10A,186.02,80548.44,146.49,102284.25,14983621.00,在售,住宅
2栋9A,185.98,78281.72,146.46,99404.85,14558835.00,在售,住宅
2栋8A,186.02,79177.86,146.49,100543.83,14728667.00,在售,住宅
2栋7A,185.98,77965.44,146.46,99003.22,14500013.00,在售,住宅
2栋6A,186.02,77807.30,146.49,98803.42,14473714.00,在售,住宅
2栋5A,185.98,76594.87,146.46,97262.82,14245114.00,在售,住宅
2栋4A,186.02,77491.01,146.49,98401.78,14414878.00,在售,住宅
2栋3A,185.98,75224.29,146.46,95522.42,13990215.00,在售,住宅
2栋2A,186.02,76120.44,146.49,96661.37,14159925.00,在售,住宅
1栋B座45C,181.60,88139.28,142.80,112087.50,16006095.00,在售,住宅
1栋B座44C,187.21,90616.86,147.21,115239.33,16964383.00,在售,住宅
1栋B座43C,187.21,87823.00,147.21,111686.33,16441345.00,在售,住宅
1栋B座42C,187.21,89246.29,147.21,113496.35,16707798.00,在售,住宅
1栋B座41C,187.21,86452.43,147.21,109943.35,16184761.00,在售,住宅
1栋B座40C,187.21,88930.00,147.21,113094.12,16648586.00,在售,住宅
1栋B座39C,187.21,85081.86,147.21,108200.36,15928176.00,在售,住宅
1栋B座38C,187.21,87559.43,147.21,111351.14,16392002.00,在售,住宅
1栋B座37C,187.21,84765.57,147.21,107798.13,15868964.00,在售,住宅
1栋B座36C,187.21,86188.86,147.21,109608.15,16135417.00,在售,住宅
1栋B座35C,187.21,83395.01,147.21,106055.15,15612380.00,在售,住宅
1栋B座34C,187.21,85872.58,147.21,109205.93,16076206.00,在售,住宅
1栋B座33C,187.21,82024.43,147.21,104312.17,15355795.00,在售,住宅
1栋B座32C,187.21,84554.72,147.21,107529.99,15829490.00,在售,住宅
1栋B座31C,187.21,81813.58,147.21,104044.02,15316321.00,在售,住宅
1栋B座30C,187.21,83289.57,147.21,105921.07,15592642.00,在售,住宅
1栋B座29C,187.21,80548.43,147.21,102435.11,15079473.00,在售,住宅
1栋B座28C,187.21,83078.72,147.21,105652.93,15553168.00,在售,住宅
1栋B座27C,187.21,78756.15,147.21,100155.83,14743940.00,在售,住宅
1栋B座26C,187.21,81286.43,147.21,103373.64,15217634.00,在售,住宅
1栋B座25C,187.21,78545.29,147.21,99887.67,14704465.00,在售,住宅
1栋B座24C,187.21,80021.29,147.21,101764.73,14980787.00,在售,住宅
1栋B座23C,187.21,77280.15,147.21,98278.77,14467618.00,在售,住宅
1栋B座22C,187.21,79810.43,147.21,101496.58,14941312.00,在售,住宅
1栋B座21C,187.21,76015.01,147.21,96669.86,14230771.00,在售,住宅
1栋B座20C,187.21,78545.29,147.21,99887.67,14704465.00,在售,住宅
1栋B座19C,187.21,75804.15,147.21,96401.71,14191296.00,在售,住宅
1栋B座18C,187.21,77280.15,147.21,98278.77,14467618.00,在售,住宅
1栋B座17C,187.21,73484.72,147.21,93452.04,13757076.00,在售,住宅
1栋B座16C,187.21,76015.01,147.21,96669.86,14230771.00,在售,住宅
1栋B座15C,187.21,72219.58,147.21,91843.14,13520229.00,在售,住宅
1栋B座14C,187.21,74749.86,147.21,95060.95,13993923.00,在售,住宅
1栋B座13C,187.21,72008.72,147.21,91574.98,13480754.00,在售,住宅
1栋B座12C,187.21,73484.72,147.21,93452.04,13757076.00,在售,住宅
1栋B座11C,187.21,70743.58,147.21,89966.08,13243907.00,在售,住宅
1栋B座10C,187.21,73273.87,147.21,93183.90,13717602.00,在售,住宅
1栋B座9C,187.25,69425.73,147.24,88291.00,12999968.00,在售,住宅
1栋B座8C,187.25,71903.30,147.24,91441.81,13463893.00,在售,住宅
1栋B座7C,187.25,69109.44,147.24,87888.78,12940744.00,在售,住宅
1栋B座6C,187.25,70532.73,147.24,89698.81,13207254.00,在售,住宅
1栋B座5C,187.25,68961.84,147.24,87701.07,12913106.00,在售,住宅
1栋B座4C,187.25,70216.44,147.24,89296.58,13148029.00,在售,住宅
1栋B座3C,187.25,68629.74,147.24,87278.72,12850920.00,在售,住宅
1栋B座2C,187.25,68845.87,147.24,87553.58,12891390.00,在售,住宅
1栋B座46B,175.90,93358.00,138.32,118722.33,16421673.00,在售,住宅
1栋B座45B,178.08,92145.57,140.04,117175.69,16409284.00,在售,住宅
1栋B座44B,178.08,89878.86,140.04,114293.25,16005628.00,在售,住宅
1栋B座43B,178.08,91829.29,140.04,116773.49,16352960.00,在售,住宅
1栋B座42B,178.08,88508.29,140.04,112550.39,15761557.00,在售,住宅
1栋B座41B,178.08,90458.72,140.04,115030.62,16108889.00,在售,住宅
1栋B座40B,178.08,88192.00,140.04,112148.19,15705233.00,在售,住宅
1栋B座39B,177.79,89088.14,139.80,113297.43,15838982.00,在售,住宅
1栋B座38B,177.79,86821.43,139.80,110414.75,15435983.00,在售,住宅
1栋B座37B,177.79,88771.86,139.80,112895.20,15782750.00,在售,住宅
