房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2栋45C,178.34,86896.88,134.22,115461.10,15497189.80,在售,住宅
2栋45B,164.78,85870.72,124.01,114101.91,14149777.95,在售,住宅
2栋45A,176.31,86222.83,132.70,114558.76,15201948.39,在售,住宅
2栋44C,178.34,86776.15,134.22,115300.69,15475659.82,在售,住宅
2栋44B,164.78,85750.00,124.01,113941.49,14129885.00,在售,住宅
2栋44A,176.31,86102.11,132.70,114398.36,15180663.48,在售,住宅
2栋43C,178.34,86655.43,134.22,115140.29,15454129.84,在售,住宅
2栋43B,164.78,85629.27,124.01,113781.08,14109992.04,在售,住宅
2栋43A,176.31,85981.38,132.70,114237.96,15159378.57,在售,住宅
2栋42C,178.34,86534.70,134.22,114979.88,15432599.86,在售,住宅
2栋42B,164.78,85508.55,124.01,113620.66,14090099.08,在售,住宅
2栋42A,176.31,85860.66,132.70,114077.57,15138093.66,在售,住宅
2栋41C,178.34,86413.98,134.22,114819.47,15411069.88,在售,住宅
2栋41B,164.78,85387.82,124.01,113460.25,14070206.12,在售,住宅
2栋41A,176.31,85739.93,132.70,113917.17,15116808.75,在售,住宅
2栋40C,178.34,86293.25,134.22,114659.06,15389539.90,在售,住宅
2栋40B,164.78,85267.10,124.01,113299.84,14050313.16,在售,住宅
2栋40A,176.31,85619.21,132.70,113756.77,15095523.84,在售,住宅
2栋39C,178.34,86172.53,134.22,114498.65,15368009.92,在售,住宅
2栋39B,164.78,85146.37,124.01,113139.42,14030420.21,在售,住宅
2栋39A,176.31,85498.49,132.70,113596.37,15074238.93,在售,住宅
2栋38C,178.34,86051.81,134.22,114338.25,15346479.94,在售,住宅
2栋38B,164.78,85025.65,124.01,112979.01,14010527.25,在售,住宅
2栋38A,176.31,85377.76,132.70,113435.97,15052954.02,在售,住宅
2栋37C,178.34,85931.08,134.22,114177.84,15324949.96,在售,住宅
2栋37B,164.78,84904.92,124.01,112818.59,13990634.29,在售,住宅
2栋37A,176.31,85257.04,132.70,113275.57,15031669.11,在售,住宅
2栋36C,178.34,85810.36,134.22,114017.43,15303419.98,在售,住宅
2栋36B,164.78,84784.20,124.01,112658.18,13970741.33,在售,住宅
2栋36A,176.31,85136.31,132.70,113115.17,15010384.21,在售,住宅
2栋35C,178.34,85689.63,134.22,113857.02,15281890.01,在售,住宅
2栋35B,164.78,84663.48,124.01,112497.76,13950848.38,在售,住宅
2栋35A,176.31,85015.59,132.70,112954.77,14989099.30,在售,住宅
2栋34C,178.34,85568.91,134.22,113696.61,15260360.03,在售,住宅
2栋34B,164.78,84542.75,124.01,112337.35,13930955.42,在售,住宅
2栋34A,176.31,84894.86,132.70,112794.38,14967814.39,在售,住宅
