房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
8栋2单元1706,84.90,6051.00,67.81,7576.02,513730.00,在售,住宅
8栋2单元1705,64.66,5750.00,51.65,7198.35,371795.00,在售,住宅
8栋2单元1704,65.08,5750.00,51.98,7199.11,374210.00,在售,住宅
8栋2单元1703,64.76,5750.00,51.73,7198.33,372370.00,在售,住宅
8栋2单元1702,64.61,5750.00,51.61,7198.37,371508.00,在售,住宅
8栋2单元1701,64.42,5538.00,51.45,6934.07,356758.00,在售,住宅
8栋2单元1606,84.90,6351.00,67.81,7951.62,539200.00,在售,住宅
8栋2单元1605,64.66,6050.00,51.65,7573.92,391193.00,在售,住宅
8栋2单元1604,65.08,6050.00,51.98,7574.72,393734.00,在售,住宅
8栋2单元1603,64.76,6050.00,51.73,7573.90,391798.00,在售,住宅
8栋2单元1602,64.61,6050.00,51.61,7573.92,390891.00,在售,住宅
8栋2单元1601,64.42,5838.00,51.45,7309.69,376084.00,在售,住宅
8栋2单元1506,84.90,6351.00,67.81,7951.62,539200.00,在售,住宅
8栋2单元1505,64.66,6050.00,51.65,7573.92,391193.00,在售,住宅
8栋2单元1504,65.08,6050.00,51.98,7574.72,393734.00,在售,住宅
8栋2单元1503,64.76,6050.00,51.73,7573.90,391798.00,在售,住宅
8栋2单元1502,64.61,6050.00,51.61,7573.92,390891.00,在售,住宅
8栋2单元1501,64.42,5838.00,51.45,7309.69,376084.00,在售,住宅
8栋2单元1406,84.90,6351.00,67.81,7951.62,539200.00,在售,住宅
8栋2单元1405,64.66,6050.00,51.65,7573.92,391193.00,在售,住宅
8栋2单元1404,65.08,6050.00,51.98,7574.72,393734.00,在售,住宅
8栋2单元1403,64.76,6050.00,51.73,7573.90,391798.00,在售,住宅
8栋2单元1402,64.61,6050.00,51.61,7573.92,390891.00,在售,住宅
8栋2单元1401,64.42,5838.00,51.45,7309.69,376084.00,在售,住宅
8栋2单元1306,84.90,6351.00,67.81,7951.62,539200.00,在售,住宅
8栋2单元1305,64.66,6050.00,51.65,7573.92,391193.00,在售,住宅
8栋2单元1304,65.08,6050.00,51.98,7574.72,393734.00,在售,住宅
8栋2单元1303,64.76,6050.00,51.73,7573.90,391798.00,在售,住宅
8栋2单元1302,64.61,6050.00,51.61,7573.92,390891.00,在售,住宅
8栋2单元1301,64.42,5838.00,51.45,7309.69,376084.00,在售,住宅
8栋2单元1206,84.90,6351.00,67.81,7951.62,539200.00,在售,住宅
8栋2单元1205,64.66,6050.00,51.65,7573.92,391193.00,在售,住宅
8栋2单元1204,65.08,6050.00,51.98,7574.72,393734.00,在售,住宅
8栋2单元1203,64.76,6050.00,51.73,7573.90,391798.00,在售,住宅
8栋2单元1202,64.61,6050.00,51.61,7573.92,390891.00,在售,住宅
8栋2单元1201,64.42,5838.00,51.45,7309.69,376084.00,在售,住宅
8栋2单元1106,84.90,6351.00,67.81,7951.62,539200.00,在售,住宅
8栋2单元1105,64.66,6050.00,51.65,7573.92,391193.00,在售,住宅
8栋2单元1104,65.08,6050.00,51.98,7574.72,393734.00,在售,住宅
8栋2单元1103,64.76,6050.00,51.73,7573.90,391798.00,在售,住宅
8栋2单元1102,64.61,6050.00,51.61,7573.92,390891.00,在售,住宅
8栋2单元1101,64.42,5838.00,51.45,7309.69,376084.00,在售,住宅
8栋2单元1006,84.90,6201.00,67.81,7763.82,526465.00,在售,住宅
8栋2单元1005,64.66,5900.00,51.65,7386.13,381494.00,在售,住宅
8栋2单元1004,65.08,5900.00,51.98,7386.91,383972.00,在售,住宅
8栋2单元1003,64.76,5900.00,51.73,7386.12,382084.00,在售,住宅
8栋2单元1002,64.61,5900.00,51.61,7386.14,381199.00,在售,住宅
8栋2单元1001,64.42,5688.00,51.45,7121.88,366421.00,在售,住宅
8栋2单元906,84.90,6201.00,67.81,7763.82,526465.00,在售,住宅
8栋2单元905,64.66,5900.00,51.65,7386.13,381494.00,在售,住宅
8栋2单元904,65.08,5900.00,51.98,7386.91,383972.00,在售,住宅
8栋2单元903,64.76,5900.00,51.73,7386.12,382084.00,在售,住宅
8栋2单元902,64.61,5900.00,51.61,7386.14,381199.00,在售,住宅
8栋2单元901,64.42,5688.00,51.45,7121.88,366421.00,在售,住宅
8栋2单元806,84.90,6201.00,67.81,7763.82,526465.00,在售,住宅
8栋2单元805,64.66,5900.00,51.65,7386.13,381494.00,在售,住宅
8栋2单元804,65.08,5900.00,51.98,7386.91,383972.00,在售,住宅
8栋2单元803,64.76,5900.00,51.73,7386.12,382084.00,在售,住宅
8栋2单元802,64.61,5900.00,51.61,7386.14,381199.00,在售,住宅
8栋2单元801,64.42,5688.00,51.45,7121.88,366421.00,在售,住宅
8栋2单元706,84.90,6201.00,67.81,7763.82,526465.00,在售,住宅
8栋2单元705,64.66,5900.00,51.65,7386.13,381494.00,在售,住宅
8栋2单元704,65.08,5900.00,51.98,7386.91,383972.00,在售,住宅
8栋2单元703,64.76,5900.00,51.73,7386.12,382084.00,在售,住宅
8栋2单元702,64.61,5900.00,51.61,7386.14,381199.00,在售,住宅
8栋2单元701,64.42,5688.00,51.45,7121.88,366421.00,在售,住宅
8栋2单元606,84.90,6201.00,67.81,7763.82,526465.00,在售,住宅
8栋2单元605,64.66,5900.00,51.65,7386.13,381494.00,在售,住宅
8栋2单元604,65.08,5900.00,51.98,7386.91,383972.00,在售,住宅
8栋2单元603,64.76,5900.00,51.73,7386.12,382084.00,在售,住宅
8栋2单元602,64.61,5900.00,51.61,7386.14,381199.00,在售,住宅
8栋2单元601,64.42,5688.00,51.45,7121.88,366421.00,在售,住宅
8栋2单元506,84.90,6201.00,67.81,7763.82,526465.00,在售,住宅
