房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
B606,84.68,22190.11,67.45,27858.54,1879059.00,在售,住宅
B605,67.81,22483.91,54.01,28228.73,1524634.00,在售,住宅
B604,67.81,26083.92,54.01,32748.00,1768750.00,在售,住宅
B603,67.77,22484.77,53.98,28228.84,1523793.00,在售,住宅
B602,74.66,27704.72,59.47,34781.00,2068434.00,在售,住宅
B601,59.00,23408.28,47.00,29384.87,1381089.00,在售,住宅
B506,84.68,22774.27,67.45,28591.93,1928526.00,在售,住宅
B505,67.81,23068.07,54.01,28962.15,1564246.00,在售,住宅
B504,67.81,23068.07,54.01,28962.15,1564246.00,在售,住宅
B503,67.77,23068.93,53.98,28962.24,1563382.00,在售,住宅
B502,74.66,24288.88,59.47,30492.81,1813408.00,在售,住宅
B501,59.00,23992.45,47.00,30118.19,1415555.00,在售,住宅
B406,84.68,22419.61,67.45,28146.67,1898493.00,在售,住宅
B405,67.81,22713.40,54.01,28516.86,1540196.00,在售,住宅
B404,67.81,20193.67,54.01,25353.00,1369332.00,在售,住宅
B403,67.77,26314.27,53.98,33036.00,1783318.00,在售,住宅
B402,74.66,23934.20,59.47,30047.55,1786928.00,在售,住宅
B401,59.00,29137.78,47.00,36577.00,1719129.00,在售,住宅
B306,84.68,22304.86,67.45,28002.60,1888776.00,在售,住宅
B305,67.81,26198.66,54.01,32892.00,1776531.00,在售,住宅
B304,67.81,26198.66,54.01,32892.00,1776531.00,在售,住宅
B303,67.77,22599.52,53.98,28372.91,1531570.00,在售,住宅
B302,74.66,23819.46,59.47,29903.49,1778361.00,在售,住宅
B301,59.00,23523.03,47.00,29528.91,1387859.00,在售,住宅
B206,84.68,22106.66,67.45,27753.77,1871992.00,在售,住宅
B205,67.81,26000.46,54.01,32643.00,1763091.00,在售,住宅
B204,67.81,19896.12,54.01,24979.00,1349155.00,在售,住宅
B203,67.77,22401.32,53.98,28124.08,1518138.00,在售,住宅
B202,74.66,23621.25,59.47,29654.66,1763563.00,在售,住宅
B201,59.00,23324.83,47.00,29280.10,1376165.00,在售,住宅
B106,76.21,27134.27,67.45,30658.30,2067903.00,在售,住宅
B105,61.02,31865.39,54.01,36001.00,1944426.00,在售,住宅
B104,61.02,31846.47,54.01,35979.00,1943271.00,在售,住宅
B103,60.99,31848.64,53.98,35984.00,1942448.00,在售,住宅
B102,67.19,31416.44,59.47,35494.72,2110871.00,在售,住宅
B101,53.10,25394.89,47.00,28690.82,1348469.00,在售,住宅
A606,84.57,22191.65,67.45,27824.28,1876748.00,在售,住宅
A605,67.72,22485.86,54.01,28193.72,1522743.00,在售,住宅
A604,67.71,19876.28,54.01,24918.00,1345822.00,在售,住宅
A603,67.68,21860.84,53.98,27409.07,1479542.00,在售,住宅
A602,74.56,23184.92,59.47,29067.89,1728668.00,在售,住宅
A601,58.92,23013.73,47.00,28850.40,1355969.00,在售,住宅
A506,84.57,22775.81,67.45,28556.72,1926151.00,在售,住宅
A505,67.72,23070.03,54.01,28926.18,1562303.00,在售,住宅
A504,67.71,26565.95,54.01,33304.00,1798780.00,在售,住宅
A503,67.68,22445.02,53.98,28141.51,1519079.00,在售,住宅
A502,74.56,23769.09,59.47,29800.30,1772224.00,在售,住宅
A501,58.92,23597.89,47.00,29582.72,1390388.00,在售,住宅
A406,84.57,22421.14,67.45,28112.02,1896156.00,在售,住宅
A405,67.72,22715.35,54.01,28481.46,1538284.00,在售,住宅
A404,67.71,26211.27,54.01,32859.00,1774765.00,在售,住宅
A403,67.68,22090.33,53.98,27696.81,1495074.00,在售,住宅
A402,74.56,23310.09,59.47,29224.83,1738001.00,在售,住宅
A401,58.92,23138.90,47.00,29007.31,1363344.00,在售,住宅
A306,84.57,22306.39,67.45,27968.15,1886452.00,在售,住宅
A305,67.72,22600.62,54.01,28337.60,1530514.00,在售,住宅
A304,67.71,22496.51,54.01,28202.90,1523239.00,在售,住宅
A303,67.68,21975.59,53.98,27552.94,1487308.00,在售,住宅
A302,74.56,28195.36,59.47,35349.00,2102246.00,在售,住宅
A301,58.92,23024.16,47.00,28863.48,1356584.00,在售,住宅
A206,84.57,22108.19,67.45,27719.64,1869690.00,在售,住宅
A205,67.72,22402.40,54.01,28089.07,1517091.00,在售,住宅
A204,67.71,22298.31,54.01,27954.43,1509819.00,在售,住宅
A203,67.68,21777.39,53.98,27304.44,1473894.00,在售,住宅
A202,74.56,27997.16,59.47,35101.00,2087468.00,在售,住宅
A201,58.92,22825.96,47.00,28615.02,1344906.00,在售,住宅
A106,76.11,27139.91,67.45,30624.44,2065619.00,在售,住宅
A105,60.94,27271.18,54.01,30770.33,1661906.00,在售,住宅
A104,60.94,31847.94,54.01,35934.00,1940813.00,在售,住宅
A103,60.91,26628.51,53.98,30047.11,1621943.00,在售,住宅
A102,67.04,36274.63,59.41,40933.00,2431851.00,在售,住宅
