房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
412,194.58,106134.45,134.51,153532.39,20651642.01,在售,商业
411,487.75,92689.07,337.18,134080.00,45209096.63,在售,商业
410,196.19,100756.30,135.63,145744.88,19767378.99,在售,商业
408,81.77,98739.49,56.52,142850.82,8073928.57,在售,商业
406,387.44,90672.26,267.83,131165.52,35130063.86,在售,商业
405,209.18,95042.01,144.60,137488.85,19880889.07,在售,商业
403,94.36,100957.98,65.23,146043.15,9526395.29,在售,商业
401,831.25,90000.00,574.64,130190.20,74812500.00,在售,商业
315,169.28,130168.06,116.84,188589.95,22034850.42,在售,商业
313,135.04,120084.03,93.21,173974.33,16216147.89,在售,商业
312,194.88,130168.06,134.51,188589.34,25367152.94,在售,商业
311,488.50,113361.34,337.18,164235.76,55377016.80,在售,商业
310,196.50,123445.37,135.63,178846.98,24257016.80,在售,商业
309,118.68,120504.20,81.92,174578.10,14301438.65,在售,商业
308,81.89,120924.36,56.52,175203.40,9902496.63,在售,商业
306,388.03,110840.33,267.83,160584.60,43009375.63,在售,商业
305,209.50,116302.52,144.60,168501.92,24365378.15,在售,商业
303,94.19,123697.47,65.01,179219.59,11651065.54,在售,商业
302,119.00,124285.71,82.14,180058.43,14790000.00,在售,商业
301,832.53,110000.00,574.64,159366.38,91578300.00,在售,商业
210,496.51,151181.81,363.31,206609.46,75063284.54,在售,商业
209,185.74,164636.36,135.91,224998.58,30579558.18,在售,商业
208,111.95,155909.09,81.92,213061.80,17454022.72,在售,商业
206,77.25,156363.63,56.52,213713.56,12079090.90,在售,商业
205,366.02,150909.09,267.83,206234.34,55235745.45,在售,商业
203,203.24,154090.90,148.72,210579.85,31317436.36,在售,商业
202,112.25,165454.54,82.14,226105.09,18572272.72,在售,商业
201,796.51,150000.00,582.83,204993.73,119476500.00,在售,商业
110,248.54,304358.97,182.76,413905.55,75645379.48,在售,商业
109,368.99,300000.00,271.33,407979.21,110697000.00,在售,商业
108,390.68,337179.48,287.27,458555.65,131729282.05,在售,商业
106,104.87,430000.00,77.12,584726.40,45094100.00,在售,商业
105,192.38,383846.15,141.46,522015.57,73844323.07,在售,商业
103,353.65,368461.53,260.05,501082.18,130306423.07,在售,商业
102,369.72,372564.10,271.87,506655.38,137744400.00,在售,商业
101,197.20,382820.51,145.00,520635.89,75492205.12,在售,商业
