房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
5栋1612,87.88,19621.00,66.60,25890.29,1724293.48,在售,住宅
5栋1611,87.92,18838.00,66.63,24857.22,1656236.96,在售,住宅
5栋1610,87.92,19560.00,66.63,25809.92,1719715.20,在售,住宅
5栋1609,87.92,18886.00,66.63,24920.56,1660457.12,在售,住宅
5栋1608,87.92,19560.00,66.63,25809.92,1719715.20,在售,住宅
5栋1606,87.92,18886.00,66.63,24920.56,1660457.12,在售,住宅
5栋1605,87.92,19560.00,66.63,25809.92,1719715.20,在售,住宅
5栋1603,87.92,18316.00,66.63,24168.43,1610342.72,在售,住宅
5栋1602,87.92,18809.00,66.63,24818.95,1653687.28,在售,住宅
5栋1601,87.88,20114.00,66.60,26540.81,1767618.32,在售,住宅
5栋1412,87.88,19443.00,66.60,25655.41,1708650.84,在售,住宅
5栋1411,87.92,18659.00,66.63,24621.03,1640499.28,在售,住宅
5栋1410,87.92,19383.00,66.63,25576.36,1704153.36,在售,住宅
5栋1409,87.92,18707.00,66.63,24684.36,1644719.44,在售,住宅
5栋1408,87.92,19383.00,66.63,25576.36,1704153.36,在售,住宅
5栋1406,87.92,18707.00,66.63,24684.36,1644719.44,在售,住宅
5栋1405,87.92,19383.00,66.63,25576.36,1704153.36,在售,住宅
5栋1403,87.92,18139.00,66.63,23934.87,1594780.88,在售,住宅
5栋1402,87.92,18631.00,66.63,24584.08,1638037.52,在售,住宅
5栋1401,87.88,19937.00,66.60,26307.26,1752063.56,在售,住宅
5栋1212,87.88,19265.00,66.60,25420.54,1693008.20,在售,住宅
5栋1211,87.92,18482.00,66.63,24387.47,1624937.44,在售,住宅
5栋1210,87.92,19204.00,66.63,25340.17,1688415.68,在售,住宅
5栋1209,87.92,18529.00,66.63,24449.49,1629069.68,在售,住宅
5栋1208,87.92,19204.00,66.63,25340.17,1688415.68,在售,住宅
5栋1206,87.92,18529.00,66.63,24449.49,1629069.68,在售,住宅
5栋1205,87.92,19204.00,66.63,25340.17,1688415.68,在售,住宅
5栋1203,87.92,17960.00,66.63,23698.68,1579043.20,在售,住宅
5栋1202,87.92,18453.00,66.63,24349.20,1622387.76,在售,住宅
5栋1201,87.88,19758.00,66.60,26071.06,1736333.04,在售,住宅
5栋1012,87.88,19086.00,66.60,25184.34,1677277.68,在售,住宅
5栋1011,87.92,18303.00,66.63,24151.27,1609199.76,在售,住宅
5栋1010,87.92,19027.00,66.63,25106.61,1672853.84,在售,住宅
5栋1009,87.92,18351.00,66.63,24214.61,1613419.92,在售,住宅
5栋1008,87.92,19027.00,66.63,25106.61,1672853.84,在售,住宅
5栋1006,87.92,18351.00,66.63,24214.61,1613419.92,在售,住宅
5栋1005,87.92,19027.00,66.63,25106.61,1672853.84,在售,住宅
5栋1003,87.92,17782.00,66.63,23463.80,1563393.44,在售,住宅
5栋1002,87.92,18275.00,66.63,24114.33,1606738.00,在售,住宅
5栋1001,87.88,19580.00,66.60,25836.19,1720690.40,在售,住宅
5栋812,87.88,18909.00,66.60,24950.79,1661722.92,在售,住宅
5栋811,87.92,18125.00,66.63,23916.40,1593550.00,在售,住宅
5栋810,87.92,18848.00,66.63,24870.42,1657116.16,在售,住宅
5栋809,87.92,18173.00,66.63,23979.74,1597770.16,在售,住宅
5栋808,87.92,18848.00,66.63,24870.42,1657116.16,在售,住宅
5栋806,87.92,18173.00,66.63,23979.74,1597770.16,在售,住宅
5栋805,87.92,18848.00,66.63,24870.42,1657116.16,在售,住宅
5栋803,87.92,17603.00,66.63,23227.61,1547655.76,在售,住宅
5栋802,87.92,18096.00,66.63,23878.13,1591000.32,在售,住宅
5栋801,87.88,19402.00,66.60,25601.31,1705047.76,在售,住宅
5栋612,87.88,18730.00,66.60,24714.60,1645992.40,在售,住宅
5栋611,87.92,17946.00,66.63,23680.20,1577812.32,在售,住宅
