房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
34B,303.61,149291.55,226.27,200320.00,45326407.00,在售,商务公寓
34A,341.35,154264.71,254.40,206990.00,52658256.00,在售,商务公寓
33B,303.61,140588.35,226.27,188642.00,42684026.00,在售,商务公寓
33A,332.27,143640.61,247.63,192737.00,47727464.00,在售,商务公寓
32B,303.61,139458.52,226.27,187126.00,42341001.00,在售,商务公寓
32A,332.91,144883.37,248.10,194410.00,48233121.00,在售,商务公寓
31B,303.61,138327.96,226.27,185609.00,41997749.00,在售,商务公寓
31A,332.27,141153.65,247.63,189400.00,46901122.00,在售,商务公寓
30B,303.61,137197.39,226.27,184092.00,41654497.00,在售,商务公寓
30A,332.91,142397.23,248.10,191074.00,47405460.00,在售,商务公寓
29B,303.61,135332.73,226.27,181590.00,41088370.00,在售,商务公寓
29A,332.27,137988.50,247.63,185153.00,45849438.00,在售,商务公寓
28B,303.61,133805.69,226.27,179541.00,40624743.00,在售,商务公寓
28A,332.91,138892.34,248.10,186371.00,46238646.00,在售,商务公寓
27B,302.68,132676.27,225.57,178031.00,40158453.00,在售,商务公寓
27A,331.71,135162.49,247.21,181363.00,44834748.00,在售,商务公寓
26B,302.68,131545.74,225.57,176514.00,39816263.00,在售,商务公寓
26A,332.34,136405.85,247.68,183031.00,45333119.00,在售,商务公寓
25B,302.68,130414.46,225.57,174996.00,39473848.00,在售,商务公寓
25A,331.71,132676.30,247.21,178027.00,44010055.00,在售,商务公寓
24B,302.68,128268.17,225.57,172116.00,38824207.00,在售,商务公寓
24A,332.34,132562.54,247.68,177874.00,44055833.00,在售,商务公寓
23B,302.68,126684.52,225.57,169991.00,38344870.00,在售,商务公寓
23A,331.71,128154.81,247.21,171960.00,42510232.00,在售,商务公寓
22B,302.68,125554.74,225.57,168475.00,38002906.00,在售,商务公寓
22A,332.34,129398.16,247.68,173628.00,43004184.00,在售,商务公寓
21B,307.30,122665.90,225.57,167111.00,37695229.00,在售,商务公寓
21A,336.77,123891.29,247.21,168775.00,41722868.00,在售,商务公寓
19B,301.71,122502.77,224.87,164363.00,36960308.00,在售,商务公寓
19A,331.11,123520.22,246.79,165723.00,40898780.00,在售,商务公寓
18B,301.71,121486.15,224.87,162999.00,36653586.00,在售,商务公寓
18A,331.74,124876.97,247.26,167543.00,41426683.00,在售,商务公寓
17B,301.71,120468.05,224.87,161633.00,36346413.00,在售,商务公寓
17A,331.11,121259.60,246.79,162690.00,40150266.00,在售,商务公寓
16B,301.71,119451.44,224.87,160269.00,36039691.00,在售,商务公寓
16A,331.74,122615.60,247.26,164509.00,40676496.00,在售,商务公寓
15B,301.71,118434.07,224.87,158904.00,35732743.00,在售,商务公寓
15A,331.11,118998.98,246.79,159657.00,39401752.00,在售,商务公寓
14B,301.71,117416.71,224.87,157539.00,35425795.00,在售,商务公寓
14A,331.74,120355.72,247.26,161477.00,39926804.00,在售,商务公寓
13B,301.71,116399.36,224.87,156174.00,35118848.00,在售,商务公寓
13A,331.11,116738.36,246.79,156624.00,38653237.00,在售,商务公寓
12B,301.71,126061.66,224.87,169138.00,38034063.00,在售,商务公寓
12A,331.74,129147.78,247.26,173273.00,42843482.00,在售,商务公寓
11C,240.13,109967.04,176.36,149730.00,26406383.00,在售,商务公寓
11B,251.84,126909.08,184.97,172789.00,31960782.00,在售,商务公寓
11A,128.89,81131.17,94.66,110469.00,10456996.00,在售,商务公寓
10C,240.13,90751.26,176.36,123566.00,21792100.00,在售,商务公寓
10B,252.46,107693.58,185.42,146631.00,27188321.00,在售,商务公寓
10A,128.88,80001.22,94.66,108922.00,10310557.00,在售,商务公寓
9C,240.13,82839.19,176.36,112793.00,19892174.00,在售,商务公寓
9B,251.84,97521.30,184.97,132777.00,24559762.00,在售,商务公寓
9A,128.89,78870.62,94.66,107391.00,10165633.00,在售,商务公寓
8C,240.13,78318.01,176.36,106637.00,18806502.00,在售,商务公寓
8B,252.46,96390.35,185.42,131241.00,24334707.00,在售,商务公寓
8A,128.88,77740.49,94.66,105844.00,10019194.00,在售,商务公寓
7C,240.13,76056.68,176.36,103558.00,18263489.00,在售,商务公寓
7B,251.84,91644.03,184.97,124775.00,23079632.00,在售,商务公寓
7A,128.89,76610.05,94.66,104313.00,9874269.00,在售,商务公寓
6C,240.13,85542.65,176.36,116474.00,20541355.00,在售,商务公寓
6B,252.46,101552.08,185.42,138269.00,25637838.00,在售,商务公寓
6A,128.88,88411.04,94.66,120372.00,11394414.00,在售,商务公寓
5C,251.63,65030.26,176.36,92785.00,16363563.00,在售,商务公寓
5B,263.90,84435.06,184.97,120465.00,22282412.00,在售,商务公寓
5A,135.06,70952.96,94.66,101235.00,9582906.00,在售,商务公寓
49B,434.12,153684.82,338.39,197162.00,66717650.00,在售,商务公寓
49A,522.97,165255.99,407.66,212000.00,86423920.00,在售,商务公寓
48B,433.19,152503.78,337.67,195644.00,66063110.00,在售,商务公寓
48A,522.29,166319.26,407.13,213364.00,86866886.00,在售,商务公寓
47B,433.19,151322.84,337.67,194129.00,65551540.00,在售,商务公寓
47A,521.63,162658.04,406.61,208670.00,84847309.00,在售,商务公寓
46B,433.19,150142.69,337.67,192615.00,65040308.00,在售,商务公寓
46A,522.29,163721.16,407.13,210031.00,85509922.00,在售,商务公寓
45B,433.19,148961.75,337.67,191100.00,64528737.00,在售,商务公寓
45A,521.63,160060.75,406.61,205338.00,83492485.00,在售,商务公寓
44B,433.19,147780.03,337.67,189584.00,64016830.00,在售,商务公寓
44A,522.29,161123.83,407.13,206699.00,84153364.00,在售,商务公寓
43B,432.21,146600.34,336.90,188074.00,63362131.00,在售,商务公寓
43A,520.28,157462.80,405.56,202004.00,81924743.00,在售,商务公寓
42B,432.21,145419.43,336.90,186559.00,62851728.00,在售,商务公寓
42A,520.94,158525.85,406.07,203370.00,82582456.00,在售,商务公寓
41B,432.21,144238.51,336.90,185044.00,62341324.00,在售,商务公寓
41A,520.28,154864.71,405.56,198671.00,80573011.00,在售,商务公寓
40B,432.21,143056.82,336.90,183528.00,61830584.00,在售,商务公寓
40A,520.94,155927.80,406.07,200037.00,81229025.00,在售,商务公寓
39B,432.21,141876.68,336.90,182014.00,61320517.00,在售,商务公寓
39A,520.28,152267.41,405.56,195339.00,79221685.00,在售,商务公寓
38B,432.21,140695.76,336.90,180499.00,60810114.00,在售,商务公寓
38A,520.94,153330.52,406.07,196705.00,79876000.00,在售,商务公寓
37B,432.21,137626.16,336.90,176561.00,59483401.00,在售,商务公寓
37A,520.28,149196.95,405.56,191400.00,77624184.00,在售,商务公寓
36B,437.96,133837.62,336.21,174342.00,58615524.00,在售,商务公寓
36A,527.56,148141.17,404.99,192976.00,78153351.00,在售,商务公寓
34B,427.39,133256.82,336.21,169396.00,56952630.00,在售,商务公寓
34A,514.83,146245.74,404.99,185910.00,75291691.00,在售,商务公寓
33B,426.51,132076.14,335.51,167899.00,56331794.00,在售,商务公寓
33A,512.78,142703.61,403.38,181406.00,73175553.00,在售,商务公寓
32B,426.51,130896.18,335.51,166399.00,55828529.00,在售,商务公寓
32A,513.44,143883.87,403.90,182906.00,73875734.00,在售,商务公寓
31B,426.51,129714.65,335.51,164897.00,55324593.00,在售,商务公寓
31A,512.78,140341.29,403.38,178403.00,71964203.00,在售,商务公寓
30B,426.51,128533.90,335.51,163396.00,54820992.00,在售,商务公寓
30A,513.44,141522.34,403.90,179904.00,72663226.00,在售,商务公寓
29B,426.51,126821.39,335.51,161219.00,54090587.00,在售,商务公寓
29A,512.78,137508.55,403.38,174802.00,70511631.00,在售,商务公寓
28B,426.51,125345.65,335.51,159343.00,53461170.00,在售,商务公寓
28A,513.44,138452.81,403.90,176002.00,71087208.00,在售,商务公寓
27B,426.51,124164.90,335.51,157842.00,52957570.00,在售,商务公寓
27A,512.78,134910.23,403.38,171499.00,69179267.00,在售,商务公寓
26B,426.51,122984.94,335.51,156342.00,52454305.00,在售,商务公寓
26A,513.44,136090.49,403.90,172999.00,69874297.00,在售,商务公寓
25B,426.51,121803.41,335.51,154840.00,51950369.00,在售,商务公寓
25A,512.78,132547.91,403.38,168496.00,67967917.00,在售,商务公寓
24B,426.51,119087.92,335.51,151388.00,50792188.00,在售,商务公寓
24A,513.44,131840.19,403.90,167596.00,67692025.00,在售,商务公寓
23B,426.51,117198.41,335.51,148986.00,49986293.00,在售,商务公寓
23A,512.78,127353.64,403.38,161893.00,65304399.00,在售,商务公寓
22B,426.51,116018.45,335.51,147486.00,49483028.00,在售,商务公寓
22A,513.44,128533.88,403.90,163393.00,65994433.00,在售,商务公寓
21B,432.72,136299.00,335.51,175790.00,58979303.00,在售,商务公寓
21A,520.26,144551.10,403.38,186435.00,75204151.00,在售,商务公寓
19D,170.12,88203.77,124.98,120061.00,15005224.00,在售,商务公寓
19C,237.65,128385.82,181.62,167993.00,30510889.00,在售,商务公寓
19B,312.80,143463.63,239.05,187724.00,44875423.00,在售,商务公寓
19A,203.04,95485.65,155.17,124943.00,19387406.00,在售,商务公寓
18D,170.11,87022.41,124.98,118446.00,14803382.00,在售,商务公寓
18C,237.64,127205.85,181.62,166442.00,30229197.00,在售,商务公寓
18B,313.46,144172.39,239.56,188647.00,45192276.00,在售,商务公寓
18A,203.03,94305.73,155.17,123393.00,19146892.00,在售,商务公寓
17D,170.12,85841.85,124.98,116846.00,14603414.00,在售,商务公寓
17C,237.65,126025.10,181.62,164904.00,29949865.00,在售,商务公寓
17B,312.80,141102.94,239.05,184635.00,44136997.00,在售,商务公寓
17A,203.04,93124.94,155.17,121854.00,18908086.00,在售,商务公寓
16D,170.11,84661.82,124.98,115233.00,14401821.00,在售,商务公寓
16C,237.64,124843.50,181.62,163351.00,29667809.00,在售,商务公寓
