房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
龙光玖钻商务中心北甲期商业02A60,43.12,69300.00,31.95,93527.89,2988216.00,在售,商铺
龙光玖钻商务中心北甲期商业02A59,40.13,66550.01,29.73,89830.21,2670652.00,在售,商铺
龙光玖钻商务中心北甲期商业02A58,41.44,68640.00,30.71,92622.66,2844442.00,在售,商铺
龙光玖钻商务中心北甲期商业02A57,39.76,77880.00,29.46,105108.93,3096509.00,在售,商铺
龙光玖钻商务中心北甲期商业02A56,54.92,75569.99,40.69,101998.13,4150304.00,在售,商铺
龙光玖钻商务中心北甲期商业02A55,62.67,77989.99,46.44,105246.19,4887633.00,在售,商铺
龙光玖钻商务中心北甲期商业02A53a,69.32,62369.99,51.37,84163.68,4323488.00,在售,商铺
龙光玖钻商务中心北甲期商业02A53,40.22,75900.00,29.80,102439.53,3052698.00,在售,商铺
龙光玖钻商务中心北甲期商业02A52,41.50,110000.00,30.75,148455.28,4565000.00,在售,商铺
龙光玖钻商务中心北甲期商业02A51,59.57,73700.00,44.14,99463.28,4390309.00,在售,商铺
龙光玖钻商务中心北甲期商业02A50,78.88,67870.00,58.45,91592.57,5353586.00,在售,商铺
龙光玖钻商务中心北甲期商业02A49,40.95,92070.01,30.34,124267.20,3770267.00,在售,商铺
龙光玖钻商务中心北甲期商业02A48,37.45,93335.00,27.75,125960.22,3495396.00,在售,商铺
龙光玖钻商务中心北甲期商业02A47,42.47,80959.99,31.47,109258.69,3438371.00,在售,商铺
龙光玖钻商务中心北甲期商业02A46,59.26,64688.40,43.91,87302.10,3833435.00,在售,商铺
龙光玖钻商务中心北甲期商业02A38,54.66,110000.00,40.50,148459.25,6012600.00,在售,商铺
龙光玖钻商务中心北甲期商业02A37,55.40,110000.00,41.05,148453.10,6094000.00,在售,商铺
龙光玖钻商务中心北甲期商业02A36,34.43,110000.00,25.52,148405.17,3787300.00,在售,商铺
龙光玖钻商务中心北甲期商业02A35,34.43,110000.00,25.52,148405.17,3787300.00,在售,商铺
龙光玖钻商务中心北甲期商业02A33a,19.33,110000.00,14.32,148484.63,2126300.00,在售,商铺
龙光玖钻商务中心北甲期商业02A33,29.10,110000.00,21.57,148400.55,3201000.00,在售,商铺
龙光玖钻商务中心北甲期商业02A32,59.06,110000.00,43.77,148425.86,6496600.00,在售,商铺
龙光玖钻商务中心北甲期商业02A31,54.66,110000.00,40.50,148459.25,6012600.00,在售,商铺
龙光玖钻商务中心北甲期商业02A30,54.66,110000.00,40.50,148459.25,6012600.00,在售,商铺
龙光玖钻商务中心北甲期商业02A29,53.98,60514.96,40.00,81664.95,3266598.00,在售,商铺
龙光玖钻商务中心北甲期商业02A28,69.24,110000.00,51.31,148438.90,7616400.00,在售,商铺
龙光玖钻商务中心北甲期商业02A27,67.98,110000.00,50.38,148427.94,7477800.00,在售,商铺
龙光玖钻商务中心北甲期商业02A26,69.25,130000.00,51.31,175453.12,9002500.00,在售,商铺
龙光玖钻商务中心北甲期商业02A25,38.71,107203.92,28.69,144644.96,4149864.00,在售,商铺
龙光玖钻商务中心北甲期商业02A23a,36.47,130000.00,27.03,175401.40,4741100.00,在售,商铺
龙光玖钻商务中心北甲期商业02A23,79.92,162000.00,59.22,218626.13,12947040.00,在售,商铺
龙光玖钻商务中心北甲期商业02A22,76.75,110000.00,56.87,148452.61,8442500.00,在售,商铺
龙光玖钻商务中心北甲期商业02A21,72.42,110000.00,53.67,148429.29,7966200.00,在售,商铺
龙光玖钻商务中心北甲期商业02A20,17.50,220000.00,12.97,296838.85,3850000.00,在售,商铺
龙光玖钻商务中心北甲期商业02A19,117.34,110000.00,86.95,148446.23,12907400.00,在售,商铺
龙光玖钻商务中心北甲期商业02A18,78.46,110000.00,58.14,148445.13,8630600.00,在售,商铺
龙光玖钻商务中心北甲期商业02A17,71.51,110000.00,52.99,148444.98,7866100.00,在售,商铺
龙光玖钻商务中心北甲期商业02A16,75.29,110000.00,55.79,148447.75,8281900.00,在售,商铺
龙光玖钻商务中心北甲期商业02A15,50.51,110000.00,37.43,148439.75,5556100.00,在售,商铺
龙光玖钻商务中心北甲期商业02A13a,39.11,110000.00,28.98,148450.65,4302100.00,在售,商铺
龙光玖钻商务中心北甲期商业02A13,57.27,110000.00,42.43,148472.77,6299700.00,在售,商铺
龙光玖钻商务中心北甲期商业02A12,32.51,110000.00,24.09,148447.48,3576100.00,在售,商铺
龙光玖钻商务中心北甲期商业02A11,59.47,110000.00,44.07,148438.84,6541700.00,在售,商铺
龙光玖钻商务中心北甲期商业02A10,55.33,110000.00,41.00,148446.34,6086300.00,在售,商铺
龙光玖钻商务中心北甲期商业02A09,81.18,110000.00,60.15,148458.85,8929800.00,在售,商铺
龙光玖钻商务中心北甲期商业02A08,55.02,110000.00,40.77,148447.38,6052200.00,在售,商铺
龙光玖钻商务中心北甲期商业02A07,62.76,110000.00,46.50,148464.51,6903600.00,在售,商铺
龙光玖钻商务中心北甲期商业02A06,54.72,110000.00,40.55,148438.96,6019200.00,在售,商铺
龙光玖钻商务中心北甲期商业02A05,87.28,110000.00,64.68,148435.37,9600800.00,在售,商铺
龙光玖钻商务中心北甲期商业02A03a,60.70,110000.00,44.98,148443.75,6677000.00,在售,商铺
龙光玖钻商务中心北甲期商业02A03,60.36,110000.00,44.73,148437.29,6639600.00,在售,商铺
龙光玖钻商务中心北甲期商业02A02,68.14,110000.00,50.49,148453.15,7495400.00,在售,商铺
龙光玖钻商务中心北甲期商业02A01,75.94,176000.00,56.27,237523.36,13365440.00,在售,商铺
龙光玖钻商务中心北甲期商业01A62,52.83,155760.00,47.15,174523.88,8228801.00,在售,商铺
龙光玖钻商务中心北甲期商业01A61,49.61,220000.00,44.27,246537.15,10914200.00,在售,商铺
龙光玖钻商务中心北甲期商业01A60,45.68,150260.00,40.77,168356.07,6863877.00,在售,商铺
龙光玖钻商务中心北甲期商业01A59,47.02,145640.00,41.97,163164.00,6847993.00,在售,商铺
龙光玖钻商务中心北甲期商业01A58,43.10,156860.00,38.47,175738.65,6760666.00,在售,商铺
龙光玖钻商务中心北甲期商业01A57,50.69,220000.00,45.24,246503.09,11151800.00,在售,商铺
龙光玖钻商务中心北甲期商业01A56,50.11,220000.00,44.73,246460.98,11024200.00,在售,商铺
龙光玖钻商务中心北甲期商业01A55,69.72,220000.00,62.23,246479.19,15338400.00,在售,商铺
龙光玖钻商务中心北甲期商业01A53a,44.17,170719.99,39.42,191291.27,7540702.00,在售,商铺
龙光玖钻商务中心北甲期商业01A53,49.15,172197.59,43.87,192922.54,8463512.00,在售,商铺
龙光玖钻商务中心北甲期商业01A52,60.37,220000.00,53.88,246499.62,13281400.00,在售,商铺
龙光玖钻商务中心北甲期商业01A51,32.51,220000.00,29.01,246542.57,7152200.00,在售,商铺
龙光玖钻商务中心北甲期商业01A50,90.41,148823.93,80.70,166730.76,13455172.00,在售,商铺
龙光玖钻商务中心北甲期商业01A49,104.15,135788.26,92.96,152133.69,14142348.00,在售,商铺
龙光玖钻商务中心北甲期商业01A48,51.03,220000.00,45.55,246467.61,11226600.00,在售,商铺
龙光玖钻商务中心北甲期商业01A47,32.34,169620.00,28.86,190073.15,5485511.00,在售,商铺
龙光玖钻商务中心北甲期商业01A46,37.96,146080.00,33.88,163671.69,5545197.00,在售,商铺
龙光玖钻商务中心北甲期商业01A45,50.53,144000.00,45.10,161337.47,7276320.00,在售,商铺
龙光玖钻商务中心北甲期商业01A43a,56.87,144000.00,50.76,161333.33,8189280.00,在售,商铺
龙光玖钻商务中心北甲期商业01A43,61.96,144000.00,55.30,161342.49,8922240.00,在售,商铺
龙光玖钻商务中心北甲期商业01A42,98.69,144000.00,88.09,161327.73,14211360.00,在售,商铺
龙光玖钻商务中心北甲期商业01A41,71.24,144000.00,63.58,161348.85,10258560.00,在售,商铺
龙光玖钻商务中心北甲期商业01A40,60.13,144000.00,53.67,161332.58,8658720.00,在售,商铺
龙光玖钻商务中心北甲期商业01A39,67.32,144000.00,60.08,161352.86,9694080.00,在售,商铺
龙光玖钻商务中心北甲期商业01A38,67.32,144000.00,60.08,161352.86,9694080.00,在售,商铺
龙光玖钻商务中心北甲期商业01A37,68.11,144000.00,60.79,161339.69,9807840.00,在售,商铺
龙光玖钻商务中心北甲期商业01A36,68.06,144000.00,60.75,161327.40,9800640.00,在售,商铺
龙光玖钻商务中心北甲期商业01A35,68.06,144000.00,60.75,161327.40,9800640.00,在售,商铺
龙光玖钻商务中心北甲期商业01A33a,68.06,144000.00,60.75,161327.40,9800640.00,在售,商铺
龙光玖钻商务中心北甲期商业01A33,68.06,144000.00,60.75,161327.40,9800640.00,在售,商铺
龙光玖钻商务中心北甲期商业01A32,86.07,144000.00,76.82,161339.23,12394080.00,在售,商铺
龙光玖钻商务中心北甲期商业01A31,68.06,144000.00,60.75,161327.40,9800640.00,在售,商铺
龙光玖钻商务中心北甲期商业01A30,68.06,144000.00,60.75,161327.40,9800640.00,在售,商铺
龙光玖钻商务中心北甲期商业01A29,68.06,144000.00,60.75,161327.40,9800640.00,在售,商铺
龙光玖钻商务中心北甲期商业01A28,68.06,144000.00,60.75,161327.40,9800640.00,在售,商铺
龙光玖钻商务中心北甲期商业01A27,67.23,144000.00,60.00,161352.00,9681120.00,在售,商铺
龙光玖钻商务中心北甲期商业01A26,81.59,144000.00,72.82,161342.48,11748960.00,在售,商铺
龙光玖钻商务中心北甲期商业01A25,81.62,144000.00,72.85,161335.34,11753280.00,在售,商铺
龙光玖钻商务中心北甲期商业01A23a,81.62,144000.00,72.85,161335.34,11753280.00,在售,商铺
龙光玖钻商务中心北甲期商业01A23,66.13,144000.00,59.02,161347.33,9522720.00,在售,商铺
