房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋C座-3606,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-3605,102.75,45833.00,80.84,58255.08,4709341.00,在售,住宅
1栋C座-3603,88.36,44671.00,69.52,56776.90,3947130.00,在售,住宅
1栋C座-3602,102.90,43498.00,80.96,55285.87,4475944.00,在售,住宅
1栋C座-3601,103.21,43687.00,81.21,55521.92,4508935.00,在售,住宅
1栋C座-3506,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-3505,102.75,45933.00,80.84,58382.19,4719616.00,在售,住宅
1栋C座-3503,88.36,44821.00,69.52,56967.55,3960384.00,在售,住宅
1栋C座-3502,102.90,43598.00,80.96,55412.97,4486234.00,在售,住宅
1栋C座-3501,103.21,43787.00,81.21,55649.01,4519256.00,在售,住宅
1栋C座-3406,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-3405,102.75,45933.00,80.84,58382.19,4719616.00,在售,住宅
1栋C座-3403,88.36,44821.00,69.52,56967.55,3960384.00,在售,住宅
1栋C座-3402,102.90,43598.00,80.96,55412.97,4486234.00,在售,住宅
1栋C座-3401,103.21,43787.00,81.21,55649.01,4519256.00,在售,住宅
1栋C座-3306,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-3305,102.75,45883.00,80.84,58318.63,4714478.00,在售,住宅
1栋C座-3303,88.36,44751.00,69.52,56878.57,3954198.00,在售,住宅
1栋C座-3302,102.90,43548.00,80.96,55349.42,4481089.00,在售,住宅
1栋C座-3301,103.21,43737.00,81.21,55585.47,4514096.00,在售,住宅
1栋C座-3206,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-3205,102.75,45883.00,80.84,58318.63,4714478.00,在售,住宅
1栋C座-3203,88.36,44751.00,69.52,56878.57,3954198.00,在售,住宅
1栋C座-3202,102.90,43548.00,80.96,55349.42,4481089.00,在售,住宅
1栋C座-3201,103.21,43737.00,81.21,55585.47,4514096.00,在售,住宅
1栋C座-3106,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-3105,102.75,45883.00,80.84,58318.63,4714478.00,在售,住宅
1栋C座-3103,88.36,44751.00,69.52,56878.57,3954198.00,在售,住宅
1栋C座-3102,102.90,43548.00,80.96,55349.42,4481089.00,在售,住宅
1栋C座-3101,103.21,43737.00,81.21,55585.47,4514096.00,在售,住宅
1栋C座-3006,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-3005,102.75,45783.00,80.84,58191.53,4704203.00,在售,住宅
1栋C座-3003,88.36,44601.00,69.52,56687.92,3940944.00,在售,住宅
1栋C座-3002,102.90,43448.00,80.96,55222.32,4470799.00,在售,住宅
1栋C座-3001,103.21,43637.00,81.21,55458.38,4503775.00,在售,住宅
1栋C座-2906,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-2905,102.75,45783.00,80.84,58191.53,4704203.00,在售,住宅
1栋C座-2903,88.36,44601.00,69.52,56687.92,3940944.00,在售,住宅
1栋C座-2902,102.90,43448.00,80.96,55222.32,4470799.00,在售,住宅
1栋C座-2901,103.21,43637.00,81.21,55458.38,4503775.00,在售,住宅
1栋C座-2806,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-2805,102.75,45783.00,80.84,58191.53,4704203.00,在售,住宅
1栋C座-2803,88.36,44601.00,69.52,56687.92,3940944.00,在售,住宅
1栋C座-2802,102.90,43448.00,80.96,55222.32,4470799.00,在售,住宅
1栋C座-2801,103.21,43637.00,81.21,55458.38,4503775.00,在售,住宅
1栋C座-2706,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-2705,102.75,45783.00,80.84,58191.53,4704203.00,在售,住宅
1栋C座-2703,88.36,44601.00,69.52,56687.92,3940944.00,在售,住宅
1栋C座-2702,102.90,43448.00,80.96,55222.32,4470799.00,在售,住宅
1栋C座-2701,103.21,43637.00,81.21,55458.38,4503775.00,在售,住宅
1栋C座-2606,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-2605,102.75,45783.00,80.84,58191.53,4704203.00,在售,住宅
1栋C座-2603,88.36,44601.00,69.52,56687.92,3940944.00,在售,住宅
1栋C座-2602,102.90,43448.00,80.96,55222.32,4470799.00,在售,住宅
1栋C座-2601,103.21,43637.00,81.21,55458.38,4503775.00,在售,住宅
1栋C座-2506,116.55,46999.00,91.70,59735.37,5477733.00,在售,住宅
1栋C座-2505,102.75,45583.00,80.84,57937.32,4683653.00,在售,住宅
1栋C座-2503,88.36,44301.00,69.52,56306.62,3914436.00,在售,住宅
