房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
G座31F,86.04,43852.00,64.75,58270.53,3773017.00,在售,住宅
G座31E,67.41,41374.00,50.73,54977.27,2788997.00,在售,住宅
G座31D,86.94,41982.00,65.43,55783.95,3649944.00,在售,住宅
G座31C,86.94,43374.00,65.43,57633.33,3770949.00,在售,住宅
G座31B,67.41,43103.00,50.73,57275.32,2905577.00,在售,住宅
G座30F,86.04,43875.00,64.75,58301.81,3775042.00,在售,住宅
G座30E,67.41,41397.00,50.73,55008.54,2790583.00,在售,住宅
G座30D,86.94,42006.00,65.43,55815.22,3651990.00,在售,住宅
G座30C,86.94,43398.00,65.43,57664.59,3772994.00,在售,住宅
G座30B,67.41,43127.00,50.73,57306.58,2907163.00,在售,住宅
G座29F,86.04,43828.00,64.75,58239.27,3770993.00,在售,住宅
G座29E,67.41,41350.00,50.73,54946.01,2787411.00,在售,住宅
G座29D,86.94,41959.00,65.43,55752.70,3647899.00,在售,住宅
G座29C,86.94,43351.00,65.43,57602.06,3768903.00,在售,住宅
G座29B,67.41,43080.00,50.73,57244.06,2903991.00,在售,住宅
G座28F,86.04,43781.00,64.75,58176.74,3766944.00,在售,住宅
G座28E,67.41,41303.00,50.73,54883.48,2784239.00,在售,住宅
G座28D,86.94,41912.00,65.43,55690.16,3643807.00,在售,住宅
G座28C,86.94,43304.00,65.43,57539.54,3764812.00,在售,住宅
G座28B,67.41,43032.00,50.73,57181.51,2900818.00,在售,住宅
G座28A,166.14,41114.00,125.03,54632.06,6830646.00,在售,住宅
G座27F,86.04,43734.00,64.75,58114.21,3762895.00,在售,住宅
G座27E,67.41,41256.00,50.73,54820.93,2781066.00,在售,住宅
G座27D,86.94,41865.00,65.43,55627.63,3639716.00,在售,住宅
G座27C,86.94,43256.00,65.43,57477.00,3760720.00,在售,住宅
G座27B,67.41,42985.00,50.73,57118.98,2897646.00,在售,住宅
G座27A,166.14,41067.00,125.03,54569.52,6822827.00,在售,住宅
G座26F,86.04,43687.00,64.75,58051.68,3758846.00,在售,住宅
G座26E,67.41,41209.00,50.73,54758.41,2777894.00,在售,住宅
G座26D,86.94,41818.00,65.43,55565.11,3635625.00,在售,住宅
G座26C,86.94,43209.00,65.43,57414.47,3756629.00,在售,住宅
G座26B,67.41,42938.00,50.73,57056.46,2894474.00,在售,住宅
G座26A,166.14,41020.00,125.03,54506.99,6815009.00,在售,住宅
G座25F,86.04,43640.00,64.75,57989.14,3754797.00,在售,住宅
G座25E,67.41,41162.00,50.73,54695.88,2774722.00,在售,住宅
G座25D,86.94,41771.00,65.43,55502.57,3631533.00,在售,住宅
G座25C,86.94,43162.00,65.43,57351.95,3752538.00,在售,住宅
G座25B,67.41,42891.00,50.73,56993.93,2891302.00,在售,住宅
G座25A,166.14,40973.00,125.03,54444.45,6807190.00,在售,住宅
G座24F,86.04,43593.00,64.75,57926.61,3750748.00,在售,住宅
G座24E,67.41,41115.00,50.73,54633.35,2771550.00,在售,住宅
G座24D,86.94,41724.00,65.43,55440.04,3627442.00,在售,住宅
G座24C,86.94,43115.00,65.43,57289.42,3748447.00,在售,住宅
G座24B,67.41,42844.00,50.73,56931.38,2888129.00,在售,住宅
G座24A,166.14,40926.00,125.03,54381.92,6799372.00,在售,住宅
G座23E,67.41,41068.00,50.73,54570.81,2768377.00,在售,住宅
G座23D,86.94,41676.00,65.43,55377.52,3623351.00,在售,住宅
G座23C,86.94,43068.00,65.43,57226.88,3744355.00,在售,住宅
G座23B,67.41,42797.00,50.73,56868.85,2884957.00,在售,住宅
G座23A,166.14,40879.00,125.03,54319.40,6791554.00,在售,住宅
G座22F,86.04,43499.00,64.75,57801.54,3742650.00,在售,住宅
G座22E,67.41,41021.00,50.73,54508.28,2765205.00,在售,住宅
G座22D,86.94,41629.00,65.43,55314.98,3619259.00,在售,住宅
G座22C,86.94,43021.00,65.43,57164.36,3740264.00,在售,住宅
G座22B,67.41,42750.00,50.73,56806.33,2881785.00,在售,住宅
G座22A,166.14,40831.00,125.03,54256.86,6783735.00,在售,住宅
G座21F,86.04,43452.00,64.75,57739.01,3738601.00,在售,住宅
G座21E,67.41,40974.00,50.73,54445.75,2762033.00,在售,住宅
G座21D,86.94,41582.00,65.43,55252.45,3615168.00,在售,住宅
G座21C,86.94,42974.00,65.43,57101.83,3736173.00,在售,住宅
G座21B,67.41,42703.00,50.73,56743.80,2878613.00,在售,住宅
G座21A,166.14,40784.00,125.03,54194.33,6775917.00,在售,住宅
G座20F,86.04,43405.00,64.75,57676.49,3734553.00,在售,住宅
G座20E,67.41,40927.00,50.73,54383.22,2758861.00,在售,住宅
G座20D,86.94,41535.00,65.43,55189.93,3611077.00,在售,住宅
G座20C,86.94,42927.00,65.43,57039.29,3732081.00,在售,住宅
G座20B,67.41,42656.00,50.73,56681.25,2875440.00,在售,住宅
G座20A,166.14,40737.00,125.03,54131.80,6768099.00,在售,住宅
G座19F,86.04,43334.00,64.75,57582.69,3728479.00,在售,住宅
G座19E,67.41,40856.00,50.73,54289.41,2754102.00,在售,住宅
G座19D,86.94,41465.00,65.43,55096.13,3604940.00,在售,住宅
G座19C,86.94,42856.00,65.43,56945.50,3725944.00,在售,住宅
G座19B,67.41,42585.00,50.73,56587.46,2870682.00,在售,住宅
G座19A,166.14,40667.00,125.03,54038.00,6756371.00,在售,住宅
G座18E,67.41,40785.00,50.73,54195.62,2749344.00,在售,住宅
G座18A,166.14,40596.00,125.03,53944.21,6744644.00,在售,住宅
G座17F,86.04,43193.00,64.75,57395.09,3716332.00,在售,住宅
G座17E,67.41,40715.00,50.73,54101.83,2744586.00,在售,住宅
G座17D,86.94,41324.00,65.43,54908.54,3592666.00,在售,住宅
G座17B,67.41,42444.00,50.73,56399.86,2861165.00,在售,住宅
G座17A,166.14,40526.00,125.03,53850.40,6732916.00,在售,住宅
G座16F,86.04,43122.00,64.75,57301.30,3710259.00,在售,住宅
G座16E,67.41,40644.00,50.73,54008.02,2739827.00,在售,住宅
G座16D,86.94,41253.00,65.43,54814.75,3586529.00,在售,住宅
G座16C,86.94,42645.00,65.43,56664.13,3707534.00,在售,住宅
G座16B,67.41,42374.00,50.73,56306.07,2856407.00,在售,住宅
G座16A,166.14,40455.00,125.03,53756.61,6721189.00,在售,住宅
G座15F,86.04,43052.00,64.75,57207.49,3704185.00,在售,住宅
G座15E,67.41,40574.00,50.73,53914.23,2735069.00,在售,住宅
G座15A,166.14,40384.00,125.03,53662.81,6709461.00,在售,住宅
G座14B,67.41,42232.00,50.73,56118.47,2846890.00,在售,住宅
G座14A,166.14,40314.00,125.03,53569.02,6697734.00,在售,住宅
G座13F,86.04,42911.00,64.75,57019.91,3692039.00,在售,住宅
G座13E,67.41,40432.00,50.73,53726.63,2725552.00,在售,住宅
G座13A,166.14,40173.00,125.03,53381.41,6674278.00,在售,住宅
G座12F,86.04,42840.00,64.75,56926.10,3685965.00,在售,住宅
G座12E,67.41,40362.00,50.73,53632.84,2720794.00,在售,住宅
G座12D,86.94,40971.00,65.43,54439.57,3561981.00,在售,住宅
G座12B,67.41,42021.00,50.73,55837.08,2832615.00,在售,住宅
G座11F,86.04,42770.00,64.75,56832.31,3679892.00,在售,住宅
G座11D,86.94,40900.00,65.43,54345.77,3555844.00,在售,住宅
G座11B,67.41,41950.00,50.73,55743.29,2827857.00,在售,住宅
G座10F,86.04,42699.00,64.75,56738.50,3673818.00,在售,住宅
G座10E,67.41,40221.00,50.73,53445.24,2711277.00,在售,住宅
G座10A,166.14,39961.00,125.03,53100.02,6639096.00,在售,住宅
G座09F,86.04,42640.00,64.75,56660.34,3668757.00,在售,住宅
G座09E,67.41,40162.00,50.73,53367.08,2707312.00,在售,住宅
G座09C,86.94,42092.00,65.43,55929.41,3659461.00,在售,住宅
G座09B,67.41,41821.00,50.73,55571.32,2819133.00,在售,住宅
G座09A,166.14,39902.00,125.03,53021.86,6629323.00,在售,住宅
G座08F,86.04,42581.00,64.75,56582.18,3663696.00,在售,住宅
G座08D,86.94,40712.00,65.43,54095.66,3539479.00,在售,住宅
G座07E,67.41,40044.00,50.73,53210.74,2699381.00,在售,住宅
G座07B,67.41,41703.00,50.73,55415.00,2811203.00,在售,住宅
G座07A,166.14,39784.00,125.03,52865.53,6609777.00,在售,住宅
G座06E,67.41,39985.00,50.73,53132.58,2695416.00,在售,住宅
G座06C,86.94,41915.00,65.43,55694.93,3644119.00,在售,住宅
G座06A,166.14,39726.00,125.03,52787.36,6600004.00,在售,住宅
G座05F,86.05,42358.00,64.75,56291.69,3644887.00,在售,住宅
G座05E,67.01,39880.00,50.43,52990.82,2672327.00,在售,住宅
G座05D,86.47,40488.00,65.07,53803.84,3501016.00,在售,住宅
G座05C,86.47,41857.00,65.07,55622.13,3619332.00,在售,住宅
G座05A,166.00,39667.00,124.91,52715.38,6584678.00,在售,住宅
G座04E,67.01,39785.00,50.43,52865.75,2666020.00,在售,住宅
G座04D,86.47,40394.00,65.07,53678.78,3492878.00,在售,住宅
G座04C,86.47,41762.00,65.07,55497.06,3611194.00,在售,住宅
G座04A,166.00,39573.00,124.91,52590.30,6569054.00,在售,住宅
G座03F,86.05,42193.00,64.75,56072.80,3630714.00,在售,住宅
G座03D,86.47,40324.00,65.07,53584.97,3486774.00,在售,住宅
G座03C,86.48,41692.00,65.07,55409.67,3605507.00,在售,住宅
G座03B,67.02,41421.00,50.43,55046.90,2776015.00,在售,住宅
G座03A,166.00,39502.00,124.91,52496.49,6557337.00,在售,住宅
F座31F,88.27,46192.00,64.75,62971.01,4077373.00,在售,住宅
F座31E,69.16,43665.00,50.73,59528.58,3019885.00,在售,住宅
F座31D,89.19,43080.00,65.43,58723.26,3842263.00,在售,住宅
F座31C,89.19,43609.00,65.43,59445.61,3889526.00,在售,住宅
F座31B,69.16,44415.00,50.73,60550.88,3071746.00,在售,住宅
F座31A,88.27,46635.00,64.75,63574.87,4116473.00,在售,住宅
F座30F,88.27,46216.00,64.75,63003.09,4079450.00,在售,住宅
F座30E,69.16,43689.00,50.73,59560.65,3021512.00,在售,住宅
F座30D,89.19,43103.00,65.43,58755.33,3844361.00,在售,住宅
F座30C,89.19,43633.00,65.43,59477.69,3891625.00,在售,住宅
F座30B,69.16,44439.00,50.73,60582.97,3073374.00,在售,住宅
F座30A,88.27,39600.00,64.75,53984.43,3495492.00,在售,住宅
F座29F,88.27,46169.00,64.75,62938.93,4075296.00,在售,住宅
F座29E,69.16,43642.00,50.73,59496.51,3018258.00,在售,住宅
F座29D,89.19,43056.00,65.43,58691.18,3840164.00,在售,住宅
F座29C,89.19,43586.00,65.43,59413.54,3887428.00,在售,住宅
F座29B,69.16,44392.00,50.73,60518.81,3070119.00,在售,住宅
F座29A,88.27,46611.00,64.75,63542.80,4114396.00,在售,住宅
F座28F,88.27,46121.00,64.75,62874.78,4071142.00,在售,住宅
F座28E,69.16,43595.00,50.73,59432.35,3015003.00,在售,住宅
F座28D,89.19,43009.00,65.43,58627.04,3835967.00,在售,住宅
F座28C,89.19,36800.00,65.43,50163.41,3282192.00,在售,住宅
F座28B,69.16,44344.00,50.73,60454.64,3066864.00,在售,住宅
F座28A,88.27,39500.00,64.75,53848.11,3486665.00,在售,住宅
F座27F,88.27,39000.00,64.75,53166.49,3442530.00,在售,住宅
F座27E,69.16,43548.00,50.73,59368.20,3011749.00,在售,住宅
F座27D,89.19,42962.00,65.43,58562.89,3831770.00,在售,住宅
F座27C,89.19,43492.00,65.43,59285.24,3879033.00,在售,住宅
F座27B,69.16,44297.00,50.73,60390.50,3063610.00,在售,住宅
F座27A,88.27,46517.00,64.75,63414.50,4106089.00,在售,住宅
F座26F,88.27,39043.00,64.75,53225.11,3446325.61,在售,住宅
F座26E,69.16,43500.00,50.73,59304.04,3008494.00,在售,住宅
F座26D,89.19,42915.00,65.43,58498.73,3827572.00,在售,住宅
F座26C,89.19,43445.00,65.43,59221.09,3874836.00,在售,住宅
F座26B,69.16,44250.00,50.73,60326.34,3060355.00,在售,住宅
F座26A,88.27,39400.00,64.75,53711.78,3477838.00,在售,住宅
F座25F,88.27,45980.00,64.75,62682.32,4058680.00,在售,住宅
F座25E,69.16,43453.00,50.73,59239.90,3005240.00,在售,住宅
F座25D,89.19,42868.00,65.43,58434.59,3823375.00,在售,住宅
F座25C,89.19,43398.00,65.43,59156.95,3870639.00,在售,住宅
F座25B,69.16,44203.00,50.73,60262.19,3057101.00,在售,住宅
F座25A,88.27,39260.00,64.75,53520.93,3465480.20,在售,住宅
F座24F,88.27,38940.00,64.75,53084.69,3437233.80,在售,住宅
F座24E,69.16,43406.00,50.73,59175.73,3001985.00,在售,住宅
F座24D,89.19,42821.00,65.43,58370.44,3819178.00,在售,住宅
F座24C,89.19,43351.00,65.43,59092.80,3866442.00,在售,住宅
F座24B,69.16,44156.00,50.73,60198.03,3053846.00,在售,住宅
F座24A,88.27,46376.00,64.75,63222.04,4093627.00,在售,住宅
F座23F,88.27,38800.00,64.75,52893.84,3424876.00,在售,住宅
F座23E,69.16,43359.00,50.73,59111.57,2998730.00,在售,住宅
F座23D,89.19,42774.00,65.43,58306.30,3814981.00,在售,住宅
F座23C,89.19,43304.00,65.43,59028.66,3862245.00,在售,住宅
F座23B,69.16,44109.00,50.73,60133.89,3050592.00,在售,住宅
F座23A,88.27,39300.00,64.75,53575.46,3469011.00,在售,住宅
F座22F,88.27,45839.00,64.75,62489.85,4046218.00,在售,住宅
F座22E,69.16,43312.00,50.73,59047.43,2995476.00,在售,住宅
F座22D,89.19,42727.00,65.43,58242.15,3810784.00,在售,住宅
F座22C,89.19,36680.00,65.43,49999.83,3271489.20,在售,住宅
F座22B,69.16,44062.00,50.73,60069.72,3047337.00,在售,住宅
F座22A,88.27,39200.00,64.75,53439.14,3460184.00,在售,住宅
F座21F,88.27,45792.00,64.75,62425.71,4042065.00,在售,住宅
F座21E,69.16,43265.00,50.73,58983.26,2992221.00,在售,住宅
F座21D,89.19,42680.00,65.43,58178.01,3806587.00,在售,住宅
F座21C,89.19,43209.00,65.43,58900.35,3853850.00,在售,住宅
F座21B,69.16,44015.00,50.73,60005.56,3044082.00,在售,住宅
F座21A,88.27,46235.00,64.75,63029.58,4081165.00,在售,住宅
F座20F,88.27,38800.00,64.75,52893.84,3424876.00,在售,住宅
F座20E,69.16,43218.00,50.73,58919.12,2988967.00,在售,住宅
