房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
负二层11,93.80,210000.00,81.63,241308.34,19698000.00,在售,商铺
负二层10,154.52,210000.00,134.46,241329.76,32449200.00,在售,商铺
负二层09,68.93,218817.00,59.98,251467.62,15083028.00,在售,商铺
负二层08,117.78,182112.00,102.49,209280.29,21449137.00,在售,商铺
负二层07,55.31,234346.00,48.12,269360.99,12961651.00,在售,商铺
负二层06,22.35,237169.00,19.45,272530.89,5300726.00,在售,商铺
负二层05,116.73,182112.00,101.58,209272.69,21257920.00,在售,商铺
负二层04,119.63,193406.00,104.10,222258.56,23137117.00,在售,商铺
负二层03,94.23,175053.00,82.00,201161.84,16495271.00,在售,商铺
负二层02,92.58,163760.00,80.56,188193.34,15160856.00,在售,商铺
负二层01,83.44,180700.00,72.60,207680.73,15077621.00,在售,商铺
负一层15,86.05,138866.00,74.88,159581.46,11949460.00,在售,商铺
负一层14,141.49,132174.00,123.12,151895.02,18701315.00,在售,商铺
负一层13,63.14,126318.00,54.95,145145.35,7975737.00,在售,商铺
负一层12,108.05,104568.00,94.02,120172.15,11298586.00,在售,商铺
负一层11,50.40,132174.00,43.86,151882.69,6661575.00,在售,商铺
负一层10,32.50,135520.00,28.28,155742.89,4404409.00,在售,商铺
负一层09,55.51,126318.00,48.30,145174.51,7011929.00,在售,商铺
负一层08,50.49,119626.00,43.94,137458.19,6039913.00,在售,商铺
负一层07,114.71,107914.00,99.82,124011.36,12378814.94,在售,商铺
负一层06,94.23,200000.00,82.00,229829.26,18846000.00,在售,商铺
负一层05,30.95,200000.00,26.93,229855.18,6190000.00,在售,商铺
负一层04,49.12,200000.00,42.74,229854.93,9824000.00,在售,商铺
负一层03,34.02,200000.00,29.60,229864.86,6804000.00,在售,商铺
负一层02,36.14,200000.00,31.45,229825.11,7228000.00,在售,商铺
负一层01,22.96,200000.00,19.98,229829.82,4592000.00,在售,商铺
二号楼E户2F,77.43,46716.22,59.92,60367.48,3417237.00,已产权备案,住宅
二号楼E户3F,78.45,45246.22,60.68,58496.47,3549566.35,已产权备案,住宅
二号楼E户4F,77.84,46776.22,60.20,60482.74,3641061.35,已签预售合同,住宅
二号楼E户5F,78.45,45376.22,60.68,58664.54,3559764.85,已产权备案,住宅
二号楼E户6F,77.84,46976.22,60.20,60741.35,3656629.35,已产权备案,住宅
二号楼E户7F,78.45,45676.22,60.68,59052.40,3583299.85,已产权备案,住宅
二号楼E户8F,77.84,47376.22,60.20,61258.56,3687765.35,已产权备案,住宅
二号楼E户9F,78.45,46026.22,60.68,59504.90,3610757.35,已产权备案,住宅
