房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋2310,90.24,21605.00,59.16,32955.30,1949636.00,在售,办公
1栋2309,160.68,21055.00,105.33,32119.22,3383118.00,在售,办公
1栋2308,147.56,20405.00,96.73,31127.48,3010962.00,在售,办公
1栋2307,157.05,19105.00,102.95,29144.64,3000441.00,在售,办公
1栋2306,184.47,20905.00,120.93,31889.07,3856346.00,在售,办公
1栋2305,130.87,21505.00,85.79,32805.22,2814360.00,在售,办公
1栋2303,127.26,21305.00,83.42,32501.49,2711275.00,在售,办公
1栋2302,122.93,20705.00,80.58,31586.82,2545266.00,在售,办公
1栋2301,176.16,20705.00,115.48,31584.62,3647393.00,在售,办公
1栋2212,131.79,20205.00,90.45,29439.65,2662817.00,在售,办公
1栋2211,95.29,21905.00,65.40,31916.33,2087328.00,在售,办公
1栋2210,100.56,22405.00,69.01,32648.12,2253047.00,在售,办公
1栋2209,123.06,21855.00,84.46,31843.20,2689477.00,在售,办公
1栋2208,140.93,21205.00,96.73,30894.45,2988421.00,在售,办公
1栋2207,150.01,19905.00,102.95,29003.88,2985950.00,在售,办公
1栋2206,162.51,21905.00,111.54,31914.84,3559782.00,在售,办公
1栋2205,118.31,22305.00,81.20,32498.83,2638905.00,在售,办公
1栋2203,117.58,22105.00,80.70,32207.01,2599106.00,在售,办公
1栋2202,116.12,21505.00,79.70,31332.00,2497161.00,在售,办公
1栋2201,160.32,21705.00,110.04,31622.55,3479746.00,在售,办公
1栋2112,131.79,17000.00,90.45,24769.81,2240430.00,在售,办公
1栋2111,95.29,17000.00,65.40,24769.57,1619930.00,在售,办公
1栋2110,100.56,17000.00,69.01,24772.06,1709520.00,在售,办公
1栋2109,123.06,17000.00,84.46,24769.35,2092020.00,在售,办公
1栋2108,140.93,17000.00,96.73,24768.01,2395810.00,在售,办公
1栋2107,150.01,17000.00,102.95,24770.95,2550170.00,在售,办公
1栋2106,162.51,17000.00,111.54,24768.42,2762670.00,在售,办公
1栋2105,118.31,17000.00,81.20,24769.33,2011270.00,在售,办公
1栋2103,117.58,17000.00,80.70,24769.02,1998860.00,在售,办公
1栋2102,116.12,17000.00,79.70,24768.38,1974040.00,在售,办公
1栋2101,160.32,17000.00,110.04,24767.72,2725440.00,在售,办公
1栋2012,131.79,17000.00,90.45,24769.81,2240430.00,在售,办公
1栋2011,95.29,17000.00,65.40,24769.57,1619930.00,在售,办公
1栋2010,100.56,17000.00,69.01,24772.06,1709520.00,在售,办公
1栋2009,123.06,17000.00,84.46,24769.35,2092020.00,在售,办公
1栋2008,140.93,17000.00,96.73,24768.01,2395810.00,在售,办公
1栋2007,150.01,17000.00,102.95,24770.95,2550170.00,在售,办公
1栋2006,162.51,17000.00,111.54,24768.42,2762670.00,在售,办公
1栋2005,118.31,17000.00,81.20,24769.33,2011270.00,在售,办公
1栋2003,117.58,17000.00,80.70,24769.02,1998860.00,在售,办公
1栋2002,116.12,17000.00,79.70,24768.38,1974040.00,在售,办公
1栋2001,160.32,17000.00,110.04,24767.72,2725440.00,在售,办公
1栋1912,131.79,20205.00,90.45,29439.65,2662817.00,在售,办公
1栋1911,95.29,21905.00,65.40,31916.33,2087328.00,在售,办公
1栋1910,100.56,22405.00,69.01,32648.12,2253047.00,在售,办公
1栋1909,123.06,21855.00,84.46,31843.20,2689477.00,在售,办公
1栋1908,140.93,21205.00,96.73,30894.45,2988421.00,在售,办公
1栋1907,150.01,19905.00,102.95,29003.88,2985950.00,在售,办公
1栋1906,162.51,21905.00,111.54,31914.84,3559782.00,在售,办公
1栋1905,118.31,22305.00,81.20,32498.83,2638905.00,在售,办公
1栋1903,117.58,22105.00,80.70,32207.01,2599106.00,在售,办公
1栋1902,116.12,21461.94,79.70,31269.27,2492161.00,在售,办公
1栋1901,160.32,21705.00,110.04,31622.55,3479746.00,在售,办公
1栋1812,132.68,19905.00,90.86,29066.65,2640996.00,在售,办公
1栋1811,94.93,21605.00,65.00,31553.27,2050963.00,在售,办公
1栋1810,100.79,22105.00,69.01,32284.63,2227963.00,在售,办公
1栋1809,123.34,21555.00,84.46,31477.55,2658594.00,在售,办公
1栋1808,122.33,21105.00,83.77,30819.80,2581775.00,在售,办公
1栋1807,150.35,19605.00,102.95,28631.49,2947612.00,在售,办公
1栋1806,162.88,21605.00,111.54,31549.42,3519023.00,在售,办公
1栋1805,118.58,22005.00,81.20,32134.88,2609353.00,在售,办公
1栋1803,117.85,21805.00,80.70,31842.87,2569720.00,在售,办公
1栋1802,116.39,21205.00,79.70,30966.75,2468050.00,在售,办公
1栋1801,160.69,21405.00,110.04,31257.45,3439570.00,在售,办公
1栋1712,132.76,19905.00,90.81,29100.18,2642588.00,在售,办公
