房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
6栋商业D022,62.46,30715.00,59.91,32022.34,1918458.90,在售,商铺
6栋商业D021,56.68,30212.00,54.37,31495.60,1712416.16,在售,商铺
6栋商业D020,48.29,31369.42,46.32,32703.00,1514829.00,在售,商铺
6栋商业D019,52.73,29708.00,50.58,30970.79,1566502.84,在售,商铺
6栋商业D018,48.98,27694.00,46.98,28872.96,1356452.12,在售,商铺
6栋商业D017,38.71,28701.00,37.13,29922.31,1111015.71,在售,商铺
6栋商业D016,59.72,29601.75,57.27,30868.00,1767816.00,在售,商铺
6栋商业D015,88.95,26687.00,85.31,27825.67,2373808.65,在售,商铺
6栋商业D014,71.75,39068.06,69.56,40298.00,2803133.00,在售,商铺
6栋商业D013,68.70,39068.06,66.60,40299.00,2683975.00,在售,商铺
6栋商业D012,68.70,39068.06,66.60,40299.00,2683975.00,在售,商铺
6栋商业D011,77.78,39567.57,75.40,40816.00,3077565.00,在售,商铺
6栋商业D010,43.59,39567.57,42.26,40812.00,1724750.00,在售,商铺
6栋商业D009,60.97,39567.57,59.10,40819.00,2412434.00,在售,商铺
6栋商业D008,101.63,38978.34,98.52,40208.00,3961368.00,在售,商铺
6栋商业D007,58.40,42558.53,56.62,43896.00,2485418.00,在售,商铺
6栋商业D006,69.57,43557.55,67.44,44933.00,3030298.00,在售,商铺
6栋商业D005,52.08,44146.77,50.49,45537.00,2299163.00,在售,商铺
6栋商业D004,63.93,44146.76,61.98,45535.00,2822302.00,在售,商铺
6栋商业D003,68.70,44735.99,66.60,46146.00,3073362.00,在售,商铺
6栋商业D002,68.70,44735.99,66.60,46146.00,3073362.00,在售,商铺
6栋商业D001,68.70,44735.99,66.60,46146.00,3073362.00,在售,商铺
5栋商业C029,65.29,48276.54,63.00,50031.00,3151975.00,在售,商铺
5栋商业C028,65.28,48276.55,63.00,50023.00,3151493.00,在售,商铺
5栋商业C027,65.28,48276.55,63.00,50023.00,3151493.00,在售,商铺
5栋商业C026,65.59,48276.55,63.30,50023.00,3166458.00,在售,商铺
5栋商业C025,26.96,51312.36,26.02,53166.00,1383381.00,在售,商铺
5栋商业C024,44.72,50178.78,43.16,51992.00,2243995.00,在售,商铺
5栋商业C023,93.31,49768.98,90.05,51570.00,4643943.00,在售,商铺
5栋商业C022,73.27,56768.22,70.71,58823.00,4159407.00,在售,商铺
5栋商业C021,70.98,58625.59,68.49,60756.00,4161244.00,在售,商铺
5栋商业C020,81.14,56723.36,78.30,58780.00,4602533.00,在售,商铺
5栋商业C019,69.54,56813.06,67.10,58878.00,3950780.00,在售,商铺
5栋商业C018,75.40,54276.77,72.76,56246.00,4092468.00,在售,商铺
5栋商业C017,83.82,44960.27,80.89,46588.00,3768569.00,在售,商铺
